feature,count0@False,count1@False,count0@True,count1@True,PresenceTrue,PresenceFalse,AbsenceTrue,AbsenceFalse
fusion,7056,68.0,2297,1.0,0.014705882352941176,68.0,0.32553854875283444,3.0718328254244667
overview,7058,66.0,2297,1.0,0.015151515151515152,66.0,0.32544630206857467,3.0727035263387026
logics,7063,61.0,2297,1.0,0.01639344262295082,61.0,0.32521591391759874,3.0748802786242924
smart,7068,56.0,2297,1.0,0.017857142857142856,56.0,0.3249858517260894,3.0770570309098826
business,7075,49.0,2297,1.0,0.02040816326530612,49.0,0.3246643109540636,3.0801044841097083
examined,7077,47.0,2297,1.0,0.02127659574468085,47.0,0.32457255899392395,3.080975185023944
nowadays,7080,44.0,2297,1.0,0.022727272727272728,44.0,0.32443502824858755,3.082281236395298
vehicles,7083,41.0,2297,1.0,0.024390243902439025,41.0,0.32429761400536494,3.0835872877666524
revision,7084,40.0,2297,1.0,0.025,40.0,0.3242518351214003,3.0840226382237703
teams,7085,39.0,2297,1.0,0.02564102564102564,39.0,0.3242060691601976,3.0844579886808883
manage,7085,39.0,2297,1.0,0.02564102564102564,39.0,0.3242060691601976,3.0844579886808883
keywords,7086,38.0,2297,1.0,0.02631578947368421,38.0,0.32416031611628565,3.0848933391380062
software,6943,181.0,2293,5.0,0.027624309392265192,36.2,0.3302606942243987,3.0279110335804624
format,7088,36.0,2297,1.0,0.027777777777777776,36.0,0.32406884875846503,3.085764040052242
operational,7089,35.0,2297,1.0,0.02857142857142857,35.0,0.32402313443362957,3.08619939050936
acoustic,7019,105.0,2295,3.0,0.02857142857142857,35.0,0.3269696537968372,3.05838779956427
topological,7089,35.0,2297,1.0,0.02857142857142857,35.0,0.32402313443362957,3.08619939050936
cancer,7090,34.0,2297,1.0,0.029411764705882353,34.0,0.3239774330042313,3.086634740966478
cognition,7090,34.0,2297,1.0,0.029411764705882353,34.0,0.3239774330042313,3.086634740966478
organization,7090,34.0,2297,1.0,0.029411764705882353,34.0,0.3239774330042313,3.086634740966478
tables,7090,34.0,2297,1.0,0.029411764705882353,34.0,0.3239774330042313,3.086634740966478
multimedia,7090,34.0,2297,1.0,0.029411764705882353,34.0,0.3239774330042313,3.086634740966478
phases,7091,33.0,2297,1.0,0.030303030303030304,33.0,0.32393174446481454,3.087070091423596
management,6994,130.0,2294,4.0,0.03076923076923077,32.5,0.3279954246496997,3.048823016564952
material,7092,32.0,2297,1.0,0.03125,32.0,0.32388606880992665,3.087505441880714
thesis,7093,31.0,2297,1.0,0.03225806451612903,31.0,0.3238404060341181,3.087940792337832
individually,7094,30.0,2297,1.0,0.03333333333333333,30.0,0.3237947561319425,3.08837614279495
evolutionary,7064,60.0,2296,2.0,0.03333333333333333,30.0,0.3250283125707814,3.076655052264808
urban,7095,29.0,2297,1.0,0.034482758620689655,29.0,0.3237491190979563,3.088811493252068
car,7095,29.0,2297,1.0,0.034482758620689655,29.0,0.3237491190979563,3.088811493252068
verbal,7096,28.0,2297,1.0,0.03571428571428571,28.0,0.3237034949267193,3.089246843709186
front,7096,28.0,2297,1.0,0.03571428571428571,28.0,0.3237034949267193,3.089246843709186
diagnosis,7041,83.0,2295,3.0,0.03614457831325301,27.666666666666668,0.32594801874733703,3.0679738562091505
aggregated,7097,27.0,2297,1.0,0.037037037037037035,27.0,0.32365788361279413,3.0896821941663037
surveillance,7097,27.0,2297,1.0,0.037037037037037035,27.0,0.32365788361279413,3.0896821941663037
uncertainties,7097,27.0,2297,1.0,0.037037037037037035,27.0,0.32365788361279413,3.0896821941663037
assisted,7097,27.0,2297,1.0,0.037037037037037035,27.0,0.32365788361279413,3.0896821941663037
assistance,7097,27.0,2297,1.0,0.037037037037037035,27.0,0.32365788361279413,3.0896821941663037
brief,7097,27.0,2297,1.0,0.037037037037037035,27.0,0.32365788361279413,3.0896821941663037
retrieved,7098,26.0,2297,1.0,0.038461538461538464,26.0,0.3236122851507467,3.0901175446234217
modelled,7098,26.0,2297,1.0,0.038461538461538464,26.0,0.3236122851507467,3.0901175446234217
wireless,7098,26.0,2297,1.0,0.038461538461538464,26.0,0.3236122851507467,3.0901175446234217
conference,7098,26.0,2297,1.0,0.038461538461538464,26.0,0.3236122851507467,3.0901175446234217
outlier,7098,26.0,2297,1.0,0.038461538461538464,26.0,0.3236122851507467,3.0901175446234217
suggestions,7099,25.0,2297,1.0,0.04,25.0,0.3235666995351458,3.0905528950805397
latest,7099,25.0,2297,1.0,0.04,25.0,0.3235666995351458,3.0905528950805397
communications,7099,25.0,2297,1.0,0.04,25.0,0.3235666995351458,3.0905528950805397
disadvantages,7099,25.0,2297,1.0,0.04,25.0,0.3235666995351458,3.0905528950805397
discusses,7051,73.0,2295,3.0,0.0410958904109589,24.333333333333332,0.3254857467025954,3.072331154684096
stories,7100,24.0,2297,1.0,0.041666666666666664,24.0,0.3235211267605634,3.0909882455376576
categorize,7100,24.0,2297,1.0,0.041666666666666664,24.0,0.3235211267605634,3.0909882455376576
analytics,7076,48.0,2296,2.0,0.041666666666666664,24.0,0.3244771057094404,3.081881533101045
assessed,7100,24.0,2297,1.0,0.041666666666666664,24.0,0.3235211267605634,3.0909882455376576
road,7100,24.0,2297,1.0,0.041666666666666664,24.0,0.3235211267605634,3.0909882455376576
home,7100,24.0,2297,1.0,0.041666666666666664,24.0,0.3235211267605634,3.0909882455376576
declarative,7077,47.0,2296,2.0,0.0425531914893617,23.5,0.32443125618199803,3.082317073170732
schedule,7101,23.0,2297,1.0,0.043478260869565216,23.0,0.3234755668215744,3.091423595994776
offered,7101,23.0,2297,1.0,0.043478260869565216,23.0,0.3234755668215744,3.091423595994776
survey,7032,92.0,2294,4.0,0.043478260869565216,23.0,0.32622298065984073,3.0653879686137753
classifies,7101,23.0,2297,1.0,0.043478260869565216,23.0,0.3234755668215744,3.091423595994776
national,7101,23.0,2297,1.0,0.043478260869565216,23.0,0.3234755668215744,3.091423595994776
pay,7101,23.0,2297,1.0,0.043478260869565216,23.0,0.3234755668215744,3.091423595994776
ontology,6988,136.0,2292,6.0,0.04411764705882353,22.666666666666668,0.3279908414424728,3.048865619546248
profiles,7079,45.0,2296,2.0,0.044444444444444446,22.5,0.32433959598813394,3.0831881533101044
discussing,7102,22.0,2297,1.0,0.045454545454545456,22.0,0.323430019712757,3.091858946451894
elicitation,7102,22.0,2297,1.0,0.045454545454545456,22.0,0.323430019712757,3.091858946451894
society,7102,22.0,2297,1.0,0.045454545454545456,22.0,0.323430019712757,3.091858946451894
engineers,7102,22.0,2297,1.0,0.045454545454545456,22.0,0.323430019712757,3.091858946451894
internet,7037,87.0,2294,4.0,0.04597701149425287,21.75,0.32599118942731276,3.0675675675675675
profile,7081,43.0,2296,2.0,0.046511627906976744,21.5,0.3242479875723768,3.0840592334494774
makers,7103,21.0,2297,1.0,0.047619047619047616,21.0,0.3233844854286921,3.092294296909012
advent,7103,21.0,2297,1.0,0.047619047619047616,21.0,0.3233844854286921,3.092294296909012
progressively,7103,21.0,2297,1.0,0.047619047619047616,21.0,0.3233844854286921,3.092294296909012
utilization,7103,21.0,2297,1.0,0.047619047619047616,21.0,0.3233844854286921,3.092294296909012
supply,7103,21.0,2297,1.0,0.047619047619047616,21.0,0.3233844854286921,3.092294296909012
developers,7103,21.0,2297,1.0,0.047619047619047616,21.0,0.3233844854286921,3.092294296909012
solid,7103,21.0,2297,1.0,0.047619047619047616,21.0,0.3233844854286921,3.092294296909012
rdf,7103,21.0,2297,1.0,0.047619047619047616,21.0,0.3233844854286921,3.092294296909012
weather,7103,21.0,2297,1.0,0.047619047619047616,21.0,0.3233844854286921,3.092294296909012
marketing,7103,21.0,2297,1.0,0.047619047619047616,21.0,0.3233844854286921,3.092294296909012
divided,7103,21.0,2297,1.0,0.047619047619047616,21.0,0.3233844854286921,3.092294296909012
air,7103,21.0,2297,1.0,0.047619047619047616,21.0,0.3233844854286921,3.092294296909012
anomaly,7082,42.0,2296,2.0,0.047619047619047616,21.0,0.3242022027675798,3.0844947735191637
things,7082,42.0,2296,2.0,0.047619047619047616,21.0,0.3242022027675798,3.0844947735191637
legal,7103,21.0,2297,1.0,0.047619047619047616,21.0,0.3233844854286921,3.092294296909012
concerned,7083,41.0,2296,2.0,0.04878048780487805,20.5,0.32415643089086543,3.0849303135888504
taxonomy,7083,41.0,2296,2.0,0.04878048780487805,20.5,0.32415643089086543,3.0849303135888504
dominance,7104,20.0,2297,1.0,0.05,20.0,0.32333896396396394,3.09272964736613
sent,7104,20.0,2297,1.0,0.05,20.0,0.32333896396396394,3.09272964736613
practices,7104,20.0,2297,1.0,0.05,20.0,0.32333896396396394,3.09272964736613
cnf,7104,20.0,2297,1.0,0.05,20.0,0.32333896396396394,3.09272964736613
famous,7104,20.0,2297,1.0,0.05,20.0,0.32333896396396394,3.09272964736613
autonomously,7104,20.0,2297,1.0,0.05,20.0,0.32333896396396394,3.09272964736613
calculations,7104,20.0,2297,1.0,0.05,20.0,0.32333896396396394,3.09272964736613
environmental,7084,40.0,2296,2.0,0.05,20.0,0.3241106719367589,3.0853658536585367
cities,7104,20.0,2297,1.0,0.05,20.0,0.32333896396396394,3.09272964736613
imbalanced,7104,20.0,2297,1.0,0.05,20.0,0.32333896396396394,3.09272964736613
considerations,7104,20.0,2297,1.0,0.05,20.0,0.32333896396396394,3.09272964736613
presentation,7104,20.0,2297,1.0,0.05,20.0,0.32333896396396394,3.09272964736613
organizations,7104,20.0,2297,1.0,0.05,20.0,0.32333896396396394,3.09272964736613
retraining,7104,20.0,2297,1.0,0.05,20.0,0.32333896396396394,3.09272964736613
services,7024,100.0,2293,5.0,0.05,20.0,0.32645216400911165,3.063235935455735
anomalies,7104,20.0,2297,1.0,0.05,20.0,0.32333896396396394,3.09272964736613
certainty,7104,20.0,2297,1.0,0.05,20.0,0.32333896396396394,3.09272964736613
mathematics,7105,19.0,2297,1.0,0.05263157894736842,19.0,0.3232934553131597,3.093164997823248
permits,7105,19.0,2297,1.0,0.05263157894736842,19.0,0.3232934553131597,3.093164997823248
geographical,7105,19.0,2297,1.0,0.05263157894736842,19.0,0.3232934553131597,3.093164997823248
letters,7105,19.0,2297,1.0,0.05263157894736842,19.0,0.3232934553131597,3.093164997823248
artifacts,7105,19.0,2297,1.0,0.05263157894736842,19.0,0.3232934553131597,3.093164997823248
plausibility,7105,19.0,2297,1.0,0.05263157894736842,19.0,0.3232934553131597,3.093164997823248
something,7105,19.0,2297,1.0,0.05263157894736842,19.0,0.3232934553131597,3.093164997823248
organized,7086,38.0,2296,2.0,0.05263157894736842,19.0,0.3240191927744849,3.086236933797909
reality,7086,38.0,2296,2.0,0.05263157894736842,19.0,0.3240191927744849,3.086236933797909
personal,7086,38.0,2296,2.0,0.05263157894736842,19.0,0.3240191927744849,3.086236933797909
did,7086,38.0,2296,2.0,0.05263157894736842,19.0,0.3240191927744849,3.086236933797909
acceptable,7086,38.0,2296,2.0,0.05263157894736842,19.0,0.3240191927744849,3.086236933797909
security,7049,75.0,2294,4.0,0.05333333333333334,18.75,0.3254362320896581,3.0727986050566694
check,7087,37.0,2296,2.0,0.05405405405405406,18.5,0.3239734725553831,3.086672473867596
formalisms,7087,37.0,2296,2.0,0.05405405405405406,18.5,0.3239734725553831,3.086672473867596
emerging,7051,73.0,2294,4.0,0.0547945205479452,18.25,0.325343922847823,3.0736704446381866
sensors,7051,73.0,2294,4.0,0.0547945205479452,18.25,0.325343922847823,3.0736704446381866
technology,7015,109.0,2292,6.0,0.05504587155963303,18.166666666666668,0.32672843905915894,3.06064572425829
recordings,7106,18.0,2297,1.0,0.05555555555555555,18.0,0.3232479594708697,3.093600348280366
distinctive,7106,18.0,2297,1.0,0.05555555555555555,18.0,0.3232479594708697,3.093600348280366
distinguished,7106,18.0,2297,1.0,0.05555555555555555,18.0,0.3232479594708697,3.093600348280366
examining,7106,18.0,2297,1.0,0.05555555555555555,18.0,0.3232479594708697,3.093600348280366
terminology,7106,18.0,2297,1.0,0.05555555555555555,18.0,0.3232479594708697,3.093600348280366
se,7106,18.0,2297,1.0,0.05555555555555555,18.0,0.3232479594708697,3.093600348280366
investigations,7106,18.0,2297,1.0,0.05555555555555555,18.0,0.3232479594708697,3.093600348280366
attracting,7106,18.0,2297,1.0,0.05555555555555555,18.0,0.3232479594708697,3.093600348280366
enhances,7106,18.0,2297,1.0,0.05555555555555555,18.0,0.3232479594708697,3.093600348280366
indian,7106,18.0,2297,1.0,0.05555555555555555,18.0,0.3232479594708697,3.093600348280366
submitted,7106,18.0,2297,1.0,0.05555555555555555,18.0,0.3232479594708697,3.093600348280366
lacks,7106,18.0,2297,1.0,0.05555555555555555,18.0,0.3232479594708697,3.093600348280366
entry,7106,18.0,2297,1.0,0.05555555555555555,18.0,0.3232479594708697,3.093600348280366
inspection,7106,18.0,2297,1.0,0.05555555555555555,18.0,0.3232479594708697,3.093600348280366
idf,7106,18.0,2297,1.0,0.05555555555555555,18.0,0.3232479594708697,3.093600348280366
geographic,7106,18.0,2297,1.0,0.05555555555555555,18.0,0.3232479594708697,3.093600348280366
usability,7106,18.0,2297,1.0,0.05555555555555555,18.0,0.3232479594708697,3.093600348280366
stop,7106,18.0,2297,1.0,0.05555555555555555,18.0,0.3232479594708697,3.093600348280366
immune,7106,18.0,2297,1.0,0.05555555555555555,18.0,0.3232479594708697,3.093600348280366
disciplines,7106,18.0,2297,1.0,0.05555555555555555,18.0,0.3232479594708697,3.093600348280366
understandable,7106,18.0,2297,1.0,0.05555555555555555,18.0,0.3232479594708697,3.093600348280366
lastly,7106,18.0,2297,1.0,0.05555555555555555,18.0,0.3232479594708697,3.093600348280366
cyclic,7106,18.0,2297,1.0,0.05555555555555555,18.0,0.3232479594708697,3.093600348280366
default,7088,36.0,2296,2.0,0.05555555555555555,18.0,0.3239277652370203,3.087108013937282
formulas,7070,54.0,2295,3.0,0.05555555555555555,18.0,0.3246110325318246,3.0806100217864922
logic,6767,357.0,2278,20.0,0.056022408963585436,17.85,0.33663366336633666,2.9705882352941178
technologies,7053,71.0,2294,4.0,0.056338028169014086,17.75,0.32525166595774846,3.0745422842197034
utilized,7053,71.0,2294,4.0,0.056338028169014086,17.75,0.32525166595774846,3.0745422842197034
international,7089,35.0,2296,2.0,0.05714285714285714,17.5,0.3238820708139371,3.0875435540069684
platforms,7054,70.0,2294,4.0,0.05714285714285714,17.5,0.325205557130706,3.074978204010462
navigation,7072,52.0,2295,3.0,0.057692307692307696,17.333333333333332,0.3245192307692308,3.0814814814814815
scheduling,7072,52.0,2295,3.0,0.057692307692307696,17.333333333333332,0.3245192307692308,3.0814814814814815
vehicle,7072,52.0,2295,3.0,0.057692307692307696,17.333333333333332,0.3245192307692308,3.0814814814814815
argumentation,7072,52.0,2295,3.0,0.057692307692307696,17.333333333333332,0.3245192307692308,3.0814814814814815
participant,7107,17.0,2297,1.0,0.058823529411764705,17.0,0.3232024764316871,3.0940356987374837
seconds,7107,17.0,2297,1.0,0.058823529411764705,17.0,0.3232024764316871,3.0940356987374837
lots,7107,17.0,2297,1.0,0.058823529411764705,17.0,0.3232024764316871,3.0940356987374837
empty,7107,17.0,2297,1.0,0.058823529411764705,17.0,0.3232024764316871,3.0940356987374837
unexpected,7107,17.0,2297,1.0,0.058823529411764705,17.0,0.3232024764316871,3.0940356987374837
evolves,7107,17.0,2297,1.0,0.058823529411764705,17.0,0.3232024764316871,3.0940356987374837
months,7107,17.0,2297,1.0,0.058823529411764705,17.0,0.3232024764316871,3.0940356987374837
changed,7107,17.0,2297,1.0,0.058823529411764705,17.0,0.3232024764316871,3.0940356987374837
rgb,7107,17.0,2297,1.0,0.058823529411764705,17.0,0.3232024764316871,3.0940356987374837
pilot,7107,17.0,2297,1.0,0.058823529411764705,17.0,0.3232024764316871,3.0940356987374837
meeting,7107,17.0,2297,1.0,0.058823529411764705,17.0,0.3232024764316871,3.0940356987374837
company,7107,17.0,2297,1.0,0.058823529411764705,17.0,0.3232024764316871,3.0940356987374837
extensible,7107,17.0,2297,1.0,0.058823529411764705,17.0,0.3232024764316871,3.0940356987374837
tracks,7107,17.0,2297,1.0,0.058823529411764705,17.0,0.3232024764316871,3.0940356987374837
pitch,7107,17.0,2297,1.0,0.058823529411764705,17.0,0.3232024764316871,3.0940356987374837
fused,7107,17.0,2297,1.0,0.058823529411764705,17.0,0.3232024764316871,3.0940356987374837
demands,7107,17.0,2297,1.0,0.058823529411764705,17.0,0.3232024764316871,3.0940356987374837
junction,7107,17.0,2297,1.0,0.058823529411764705,17.0,0.3232024764316871,3.0940356987374837
opponent,7107,17.0,2297,1.0,0.058823529411764705,17.0,0.3232024764316871,3.0940356987374837
taken,7022,102.0,2292,6.0,0.058823529411764705,17.0,0.3264027342637425,3.0636998254799304
calculus,7056,68.0,2294,4.0,0.058823529411764705,17.0,0.3251133786848073,3.075850043591979
opinions,7073,51.0,2295,3.0,0.058823529411764705,17.0,0.32447334935670863,3.081917211328976
mid,7107,17.0,2297,1.0,0.058823529411764705,17.0,0.3232024764316871,3.0940356987374837
development,6836,288.0,2281,17.0,0.059027777777777776,16.941176470588236,0.3336746635459333,2.996931170539237
try,7058,66.0,2294,4.0,0.06060606060606061,16.5,0.32502125247945596,3.076721883173496
accessible,7091,33.0,2296,2.0,0.06060606060606061,16.5,0.32379072063178677,3.0884146341463414
concerning,7091,33.0,2296,2.0,0.06060606060606061,16.5,0.32379072063178677,3.0884146341463414
load,7091,33.0,2296,2.0,0.06060606060606061,16.5,0.32379072063178677,3.0884146341463414
article,6912,212.0,2285,13.0,0.06132075471698113,16.307692307692307,0.33058449074074076,3.024945295404814
participating,7108,16.0,2297,1.0,0.0625,16.0,0.3231570061902082,3.0944710491946017
autonomy,7108,16.0,2297,1.0,0.0625,16.0,0.3231570061902082,3.0944710491946017
assessment,7060,64.0,2294,4.0,0.0625,16.0,0.32492917847025493,3.077593722755013
answered,7108,16.0,2297,1.0,0.0625,16.0,0.3231570061902082,3.0944710491946017
integrity,7108,16.0,2297,1.0,0.0625,16.0,0.3231570061902082,3.0944710491946017
interplay,7108,16.0,2297,1.0,0.0625,16.0,0.3231570061902082,3.0944710491946017
86,7108,16.0,2297,1.0,0.0625,16.0,0.3231570061902082,3.0944710491946017
processors,7108,16.0,2297,1.0,0.0625,16.0,0.3231570061902082,3.0944710491946017
traveling,7108,16.0,2297,1.0,0.0625,16.0,0.3231570061902082,3.0944710491946017
deduction,7108,16.0,2297,1.0,0.0625,16.0,0.3231570061902082,3.0944710491946017
completed,7108,16.0,2297,1.0,0.0625,16.0,0.3231570061902082,3.0944710491946017
cepstral,7108,16.0,2297,1.0,0.0625,16.0,0.3231570061902082,3.0944710491946017
72,7108,16.0,2297,1.0,0.0625,16.0,0.3231570061902082,3.0944710491946017
abstracts,7108,16.0,2297,1.0,0.0625,16.0,0.3231570061902082,3.0944710491946017
seeking,7108,16.0,2297,1.0,0.0625,16.0,0.3231570061902082,3.0944710491946017
asp,7076,48.0,2295,3.0,0.0625,16.0,0.324335782928208,3.0832244008714595
verification,7045,79.0,2293,5.0,0.06329113924050633,15.8,0.3254790631653655,3.072394243349324
commercial,7077,47.0,2295,3.0,0.06382978723404255,15.666666666666666,0.32428995337007205,3.0836601307189544
describes,6922,202.0,2285,13.0,0.06435643564356436,15.538461538461538,0.33010690551863625,3.0293216630196937
stream,7062,62.0,2294,4.0,0.06451612903225806,15.5,0.32483715661285756,3.0784655623365302
city,7093,31.0,2296,2.0,0.06451612903225806,15.5,0.3236994219653179,3.0892857142857144
routing,7093,31.0,2296,2.0,0.06451612903225806,15.5,0.3236994219653179,3.0892857142857144
transportation,7093,31.0,2296,2.0,0.06451612903225806,15.5,0.3236994219653179,3.0892857142857144
customers,7093,31.0,2296,2.0,0.06451612903225806,15.5,0.3236994219653179,3.0892857142857144
recognized,7093,31.0,2296,2.0,0.06451612903225806,15.5,0.3236994219653179,3.0892857142857144
plan,7033,91.0,2292,6.0,0.06593406593406594,15.166666666666666,0.3258922223802076,3.068499127399651
plans,7049,75.0,2293,5.0,0.06666666666666667,15.0,0.32529436799546035,3.074138682948103
ten,7094,30.0,2296,2.0,0.06666666666666667,15.0,0.32365379193684807,3.0897212543554007
diagnostic,7094,30.0,2296,2.0,0.06666666666666667,15.0,0.32365379193684807,3.0897212543554007
completeness,7094,30.0,2296,2.0,0.06666666666666667,15.0,0.32365379193684807,3.0897212543554007
accepted,7094,30.0,2296,2.0,0.06666666666666667,15.0,0.32365379193684807,3.0897212543554007
reports,7064,60.0,2294,4.0,0.06666666666666667,15.0,0.32474518686296716,3.079337401918047
native,7094,30.0,2296,2.0,0.06666666666666667,15.0,0.32365379193684807,3.0897212543554007
repository,7094,30.0,2296,2.0,0.06666666666666667,15.0,0.32365379193684807,3.0897212543554007
constitute,7094,30.0,2296,2.0,0.06666666666666667,15.0,0.32365379193684807,3.0897212543554007
react,7109,15.0,2297,1.0,0.06666666666666667,15.0,0.3231115487410325,3.0949063996517197
opening,7109,15.0,2297,1.0,0.06666666666666667,15.0,0.3231115487410325,3.0949063996517197
blogs,7109,15.0,2297,1.0,0.06666666666666667,15.0,0.3231115487410325,3.0949063996517197
ago,7109,15.0,2297,1.0,0.06666666666666667,15.0,0.3231115487410325,3.0949063996517197
seamlessly,7109,15.0,2297,1.0,0.06666666666666667,15.0,0.3231115487410325,3.0949063996517197
constructive,7109,15.0,2297,1.0,0.06666666666666667,15.0,0.3231115487410325,3.0949063996517197
loops,7109,15.0,2297,1.0,0.06666666666666667,15.0,0.3231115487410325,3.0949063996517197
primitives,7109,15.0,2297,1.0,0.06666666666666667,15.0,0.3231115487410325,3.0949063996517197
prover,7109,15.0,2297,1.0,0.06666666666666667,15.0,0.3231115487410325,3.0949063996517197
stemming,7109,15.0,2297,1.0,0.06666666666666667,15.0,0.3231115487410325,3.0949063996517197
engineer,7109,15.0,2297,1.0,0.06666666666666667,15.0,0.3231115487410325,3.0949063996517197
government,7109,15.0,2297,1.0,0.06666666666666667,15.0,0.3231115487410325,3.0949063996517197
tv,7109,15.0,2297,1.0,0.06666666666666667,15.0,0.3231115487410325,3.0949063996517197
viewpoints,7109,15.0,2297,1.0,0.06666666666666667,15.0,0.3231115487410325,3.0949063996517197
courses,7109,15.0,2297,1.0,0.06666666666666667,15.0,0.3231115487410325,3.0949063996517197
classify,6991,133.0,2289,9.0,0.06766917293233082,14.777777777777779,0.32742096981833785,3.054172127566623
team,7080,44.0,2295,3.0,0.06818181818181818,14.666666666666666,0.3241525423728814,3.084967320261438
autonomous,7022,102.0,2291,7.0,0.06862745098039216,14.571428571428571,0.32626032469381944,3.0650371017023135
arabic,7066,58.0,2294,4.0,0.06896551724137931,14.5,0.3246532691763374,3.080209241499564
failure,7066,58.0,2294,4.0,0.06896551724137931,14.5,0.3246532691763374,3.080209241499564
cloud,7067,57.0,2294,4.0,0.07017543859649122,14.25,0.32460732984293195,3.0806451612903225
mining,6884,240.0,2281,17.0,0.07083333333333333,14.117647058823529,0.3313480534572923,3.0179745725558966
centers,7096,28.0,2296,2.0,0.07142857142857142,14.0,0.32356257046223225,3.0905923344947737
executed,7096,28.0,2296,2.0,0.07142857142857142,14.0,0.32356257046223225,3.0905923344947737
closure,7110,14.0,2297,1.0,0.07142857142857142,14.0,0.3230661040787623,3.0953417501088376
camera,7096,28.0,2296,2.0,0.07142857142857142,14.0,0.32356257046223225,3.0905923344947737
phone,7096,28.0,2296,2.0,0.07142857142857142,14.0,0.32356257046223225,3.0905923344947737
multiagent,7096,28.0,2296,2.0,0.07142857142857142,14.0,0.32356257046223225,3.0905923344947737
evaluates,7096,28.0,2296,2.0,0.07142857142857142,14.0,0.32356257046223225,3.0905923344947737
workshop,7110,14.0,2297,1.0,0.07142857142857142,14.0,0.3230661040787623,3.0953417501088376
preventing,7110,14.0,2297,1.0,0.07142857142857142,14.0,0.3230661040787623,3.0953417501088376
cycle,7096,28.0,2296,2.0,0.07142857142857142,14.0,0.32356257046223225,3.0905923344947737
lose,7110,14.0,2297,1.0,0.07142857142857142,14.0,0.3230661040787623,3.0953417501088376
survival,7110,14.0,2297,1.0,0.07142857142857142,14.0,0.3230661040787623,3.0953417501088376
propositions,7110,14.0,2297,1.0,0.07142857142857142,14.0,0.3230661040787623,3.0953417501088376
holistic,7110,14.0,2297,1.0,0.07142857142857142,14.0,0.3230661040787623,3.0953417501088376
cameras,7110,14.0,2297,1.0,0.07142857142857142,14.0,0.3230661040787623,3.0953417501088376
facets,7110,14.0,2297,1.0,0.07142857142857142,14.0,0.3230661040787623,3.0953417501088376
prolog,7110,14.0,2297,1.0,0.07142857142857142,14.0,0.3230661040787623,3.0953417501088376
velocity,7110,14.0,2297,1.0,0.07142857142857142,14.0,0.3230661040787623,3.0953417501088376
banks,7110,14.0,2297,1.0,0.07142857142857142,14.0,0.3230661040787623,3.0953417501088376
arriving,7110,14.0,2297,1.0,0.07142857142857142,14.0,0.3230661040787623,3.0953417501088376
exception,7110,14.0,2297,1.0,0.07142857142857142,14.0,0.3230661040787623,3.0953417501088376
emergent,7110,14.0,2297,1.0,0.07142857142857142,14.0,0.3230661040787623,3.0953417501088376
consequences,7082,42.0,2295,3.0,0.07142857142857142,14.0,0.3240609997175939,3.085838779956427
mutation,7110,14.0,2297,1.0,0.07142857142857142,14.0,0.3230661040787623,3.0953417501088376
